InstrumentName, I-25 Denver,,
StartTime, 2020-07-01 00:00:00,,
EndTime, 2020-07-31 23:59:59,,
Date,CO,NO2,PM2.5
07/26/2020 01:00:00.000000,0.4,16.0,5.4
07/26/2020 02:00:00.000000,0.5,16.0,5.0
07/26/2020 03:00:00.000000,0.3,14.0,5.3
07/26/2020 04:00:00.000000,0.3,,4.7
07/26/2020 05:00:00.000000,0.3,14.0,4.4
07/26/2020 06:00:00.000000,0.2,11.0,3.5
07/26/2020 07:00:00.000000,0.2,10.0,3.1
07/26/2020 08:00:00.000000,0.2,8.0,3.4
07/26/2020 09:00:00.000000,0.2,7.0,3.4
07/26/2020 10:00:00.000000,0.2,7.0,3.1
07/26/2020 11:00:00.000000,0.2,11.0,3.8
07/26/2020 12:00:00.000000,0.3,12.0,4.1
07/26/2020 13:00:00.000000,0.3,11.0,3.8
07/26/2020 14:00:00.000000,0.2,9.0,2.7
07/26/2020 15:00:00.000000,0.3,10.0,2.6
07/26/2020 16:00:00.000000,0.2,10.0,2.4
