InstrumentName, Swansea (DEH) B,,
StartTime, 2018-02-01 00:00:00,,
EndTime, 2018-02-28 23:59:59,,
Date,PM2.5,humidity,temp_f
02/11/2018 19:26:07.873333,1.59,100.0,-221.0
02/11/2018 19:28:47.876666,1.59,100.0,-221.0
02/11/2018 19:32:47.960000,0.08,100.0,-221.0
02/11/2018 19:35:27.790000,0.34,100.0,-221.0
02/11/2018 19:38:07.850000,0.47,100.0,-221.0
02/11/2018 19:40:47.826666,0.24,100.0,-221.0
02/11/2018 19:44:48.546666,0.74,100.0,-221.0
02/11/2018 19:47:27.896666,0.74,100.0,-221.0
02/11/2018 19:50:08.670000,0.14,100.0,-221.0
02/11/2018 19:52:47.766666,0.29,100.0,-221.0
02/11/2018 19:56:47.886666,0.82,100.0,-221.0
02/11/2018 19:59:27.976666,0.82,100.0,-221.0
02/11/2018 20:02:07.930000,0.22,100.0,-221.0
02/11/2018 20:04:47.863333,0.15,100.0,-221.0
02/11/2018 20:08:47.943333,0.26,100.0,-221.0
02/11/2018 20:11:27.836666,0.85,100.0,-221.0
02/11/2018 20:14:07.813333,0.82,100.0,-221.0
02/11/2018 20:16:48.000000,0.77,100.0,-221.0
02/11/2018 20:20:47.806666,0.21,100.0,-221.0
02/11/2018 20:23:28.070000,0.13,100.0,-221.0
02/11/2018 20:26:07.926666,0.03,100.0,-221.0
02/11/2018 20:28:47.973333,0.03,100.0,-221.0
02/11/2018 20:32:47.973333,0.2,100.0,-221.0
02/11/2018 20:35:27.970000,0.27,100.0,-221.0
02/11/2018 20:38:07.776666,0.38,100.0,-221.0
02/11/2018 20:40:47.870000,0.38,100.0,-221.0
02/11/2018 20:44:47.873333,0.37,100.0,-221.0
02/11/2018 20:47:27.826666,0.5,100.0,-221.0
02/11/2018 20:50:08.280000,0.5,100.0,-221.0
02/11/2018 20:52:47.873333,0.87,100.0,-221.0
02/11/2018 20:56:47.836666,0.57,100.0,-221.0
02/11/2018 20:59:27.826666,0.24,100.0,-221.0
02/11/2018 21:02:07.830000,0.33,100.0,-221.0
02/11/2018 21:04:47.880000,0.69,100.0,-221.0
02/11/2018 21:08:47.876666,0.62,100.0,-221.0
02/11/2018 21:11:27.933333,0.8,100.0,-221.0
02/11/2018 21:14:07.846666,0.08,100.0,-221.0
02/11/2018 21:16:48.256666,0.37,100.0,-221.0
02/11/2018 21:20:47.930000,0.37,100.0,-221.0
02/11/2018 21:23:27.880000,0.37,100.0,-221.0
02/11/2018 21:26:11.673333,0.37,100.0,-221.0
02/11/2018 21:28:47.860000,0.37,100.0,-221.0
02/11/2018 21:32:47.796666,0.18,100.0,-221.0
02/11/2018 21:35:27.783333,0.18,100.0,-221.0
02/11/2018 21:38:07.856666,0.54,100.0,-221.0
02/11/2018 21:40:48.000000,0.76,100.0,-221.0
02/11/2018 21:53:09.886666,0.0,100.0,-221.0
02/11/2018 21:55:49.926666,1.51,100.0,-221.0
02/11/2018 21:58:30.636666,0.08,100.0,-221.0
02/11/2018 22:02:31.183333,0.68,100.0,-221.0
02/11/2018 22:05:10.676666,0.49,100.0,-221.0
02/11/2018 22:07:50.163333,0.24,100.0,-221.0
02/11/2018 22:14:26.836666,0.0,100.0,-221.0
02/11/2018 22:17:06.743333,0.0,100.0,-221.0
02/11/2018 22:19:47.720000,0.06,100.0,-221.0
02/11/2018 22:23:47.593333,0.59,100.0,-221.0
02/11/2018 22:26:26.706666,0.17,100.0,-221.0
02/11/2018 22:29:07.153333,0.24,100.0,-221.0
02/11/2018 22:31:46.776666,7.47,100.0,-221.0
02/11/2018 22:35:46.716666,17.34,100.0,-221.0
02/11/2018 22:38:26.683333,19.86,100.0,-221.0
02/11/2018 22:41:07.656666,20.63,100.0,-221.0
02/11/2018 22:43:46.726666,18.92,100.0,-221.0
02/11/2018 22:47:46.803333,21.73,100.0,-221.0
02/11/2018 22:50:26.856666,21.05,100.0,-221.0
02/11/2018 22:53:06.763333,21.0,100.0,-221.0
02/11/2018 22:55:47.280000,19.08,100.0,-221.0
02/11/2018 22:59:46.710000,21.53,100.0,-221.0
02/11/2018 23:02:26.830000,23.66,100.0,-221.0
