InstrumentName, Melody-Catalpa B,,
StartTime, 2018-07-01 00:00:00,,
EndTime, 2018-07-31 23:59:59,,
Date,PM2.5,humidity,temp_f
07/01/2018 20:47:26.856666,6.29,19.0,97.0
07/01/2018 20:50:06.953333,6.12,19.0,97.0
07/01/2018 20:52:46.916666,6.23,18.0,97.0
07/01/2018 20:56:46.863333,5.05,19.0,97.0
07/01/2018 20:59:26.926666,5.7,19.0,97.0
07/01/2018 21:02:06.923333,5.6,19.0,97.0
07/01/2018 21:04:46.923333,5.86,19.0,97.0
07/01/2018 21:08:47.140000,5.53,17.0,97.0
07/01/2018 21:11:27.023333,5.49,18.0,97.0
07/01/2018 21:14:06.860000,5.67,19.0,97.0
07/01/2018 21:16:46.863333,4.55,18.0,97.0
07/01/2018 21:20:47.006666,4.32,18.0,98.0
07/01/2018 21:23:26.860000,4.45,18.0,98.0
07/01/2018 21:26:06.863333,5.32,18.0,98.0
07/01/2018 21:28:46.900000,5.47,17.0,98.0
07/01/2018 21:32:46.863333,5.07,17.0,98.0
07/01/2018 21:35:26.866666,5.1,17.0,98.0
07/01/2018 21:38:06.903333,5.07,17.0,97.0
07/01/2018 21:40:46.870000,5.7,17.0,97.0
07/01/2018 21:44:47.636666,4.67,17.0,97.0
07/01/2018 21:47:26.960000,5.12,17.0,98.0
07/01/2018 21:50:06.890000,5.09,17.0,98.0
07/01/2018 21:53:18.113333,5.02,17.0,98.0
07/01/2018 21:55:58.116666,5.23,16.0,98.0
07/01/2018 21:58:38.176666,4.57,18.0,98.0
07/01/2018 22:02:38.163333,5.09,17.0,98.0
07/01/2018 22:05:18.120000,5.05,17.0,98.0
07/01/2018 22:07:58.113333,5.19,18.0,98.0
07/01/2018 22:10:38.120000,4.79,18.0,98.0
07/01/2018 22:14:38.140000,4.4,17.0,98.0
07/01/2018 22:17:18.110000,5.0,18.0,98.0
07/01/2018 22:19:58.133333,4.86,16.0,98.0
07/01/2018 22:22:38.116666,3.74,16.0,97.0
07/01/2018 22:26:38.123333,4.81,17.0,97.0
07/01/2018 22:29:18.123333,5.35,17.0,97.0
07/01/2018 22:31:58.126666,5.65,16.0,96.0
07/01/2018 22:34:38.113333,4.95,17.0,96.0
07/01/2018 22:38:38.150000,4.35,17.0,96.0
07/01/2018 22:41:18.120000,4.29,18.0,96.0
07/01/2018 22:43:58.130000,4.41,18.0,96.0
07/01/2018 22:46:38.146666,4.33,17.0,96.0
07/01/2018 22:50:38.140000,5.58,16.0,96.0
07/01/2018 22:53:18.216666,4.49,17.0,96.0
07/01/2018 22:55:58.126666,4.7,17.0,96.0
07/01/2018 22:58:38.126666,5.3,17.0,96.0
07/01/2018 23:02:38.136666,5.16,17.0,96.0
07/01/2018 23:05:18.136666,4.55,17.0,95.0
07/01/2018 23:07:58.216666,5.07,17.0,95.0
07/01/2018 23:10:38.173333,4.53,17.0,95.0
07/01/2018 23:14:38.193333,4.05,18.0,95.0
07/01/2018 23:17:18.133333,4.6,18.0,95.0
07/01/2018 23:19:58.226666,4.74,17.0,94.0
07/01/2018 23:22:38.226666,4.88,17.0,94.0
07/01/2018 23:26:38.143333,5.4,17.0,94.0
07/01/2018 23:29:18.150000,4.54,17.0,94.0
07/01/2018 23:31:58.133333,4.17,18.0,94.0
07/01/2018 23:34:38.156666,4.45,17.0,93.0
07/01/2018 23:38:38.143333,4.58,18.0,93.0
07/01/2018 23:41:18.920000,4.24,19.0,93.0
07/01/2018 23:43:58.300000,5.19,17.0,93.0
07/01/2018 23:46:38.216666,4.81,18.0,93.0
07/01/2018 23:50:38.183333,4.93,19.0,93.0
07/01/2018 23:53:18.136666,4.52,19.0,93.0
07/01/2018 23:55:58.430000,4.84,18.0,92.0
07/01/2018 23:58:38.136666,3.7,18.0,92.0
07/02/2018 00:02:38.163333,4.0,18.0,92.0
07/02/2018 00:05:18.146666,4.28,18.0,92.0
07/02/2018 00:06:38.150000,4.19,18.0,92.0
07/02/2018 00:10:38.186666,4.02,19.0,92.0
07/02/2018 00:14:39.050000,4.65,19.0,92.0
