InstrumentName, I-25 Globeville,
StartTime, 2022-09-01 00:00:00,
EndTime, 2022-09-30 23:59:59,
Date,NO2,PM2.5
09/22/2022 00:00:00.000000,10.0,7.7
09/22/2022 01:00:00.000000,9.0,6.9
09/22/2022 02:00:00.000000,6.0,5.4
09/22/2022 03:00:00.000000,7.0,4.8
09/22/2022 04:00:00.000000,,6.7
09/22/2022 05:00:00.000000,7.0,4.8
09/22/2022 06:00:00.000000,4.0,4.5
09/22/2022 07:00:00.000000,,4.9
09/22/2022 09:00:00.000000,8.0,7.0
09/22/2022 10:00:00.000000,11.0,6.5
09/22/2022 11:00:00.000000,16.0,6.8
09/22/2022 12:00:00.000000,22.0,8.5
09/22/2022 13:00:00.000000,24.0,9.1
09/22/2022 14:00:00.000000,24.0,10.2
09/22/2022 15:00:00.000000,24.0,8.2
09/22/2022 16:00:00.000000,24.0,10.5
09/22/2022 17:00:00.000000,26.0,11.1
09/22/2022 18:00:00.000000,18.0,11.4
09/22/2022 19:00:00.000000,17.0,13.2
09/22/2022 20:00:00.000000,23.0,16.2
09/22/2022 21:00:00.000000,19.0,16.0
09/22/2022 22:00:00.000000,22.0,21.8
09/22/2022 23:00:00.000000,30.0,22.6
09/23/2022 00:00:00.000000,30.0,21.8
09/23/2022 01:00:00.000000,24.0,16.9
09/23/2022 02:00:00.000000,22.0,16.5
09/23/2022 03:00:00.000000,17.0,15.5
09/23/2022 04:00:00.000000,,17.8
09/23/2022 05:00:00.000000,24.0,22.4
09/23/2022 06:00:00.000000,24.0,20.6
09/23/2022 07:00:00.000000,,19.6
09/23/2022 09:00:00.000000,21.0,20.7
09/23/2022 10:00:00.000000,18.0,19.6
09/23/2022 11:00:00.000000,22.0,10.6
09/23/2022 12:00:00.000000,27.0,10.3
09/23/2022 13:00:00.000000,31.0,9.8
09/23/2022 14:00:00.000000,32.0,9.6
09/23/2022 15:00:00.000000,34.0,9.3
09/23/2022 16:00:00.000000,30.0,5.3
09/23/2022 17:00:00.000000,19.0,3.0
09/23/2022 18:00:00.000000,17.0,3.6
09/23/2022 19:00:00.000000,13.0,2.5
