InstrumentName, Melody-Catalpa B
StartTime, 2019-12-01 00:00:00
EndTime, 2019-12-31 23:59:59
Date,PM2.5
12/01/2019 21:16:01.239000,7.06
12/01/2019 21:18:01.392000,7.16
12/01/2019 21:20:01.303000,6.39
12/01/2019 21:22:01.286000,6.76
12/01/2019 21:26:00.898000,6.59
12/01/2019 21:28:00.904000,7.67
12/01/2019 21:30:00.947000,7.34
12/01/2019 21:32:01.100000,7.37
12/01/2019 21:34:01.230000,7.26
12/01/2019 21:36:01.296000,8.44
12/01/2019 21:38:01.108000,7.6
12/01/2019 21:40:01.129000,7.06
12/01/2019 21:42:00.885000,7.74
12/01/2019 21:44:01.119000,7.57
12/01/2019 21:46:01.325000,8.48
12/01/2019 21:48:00.920000,9.66
12/01/2019 21:50:01.142000,8.7
12/01/2019 21:52:01.336000,7.63
12/01/2019 21:54:00.971000,8.1
12/01/2019 21:56:01.129000,9.22
12/01/2019 21:58:00.915000,9.0
12/01/2019 22:00:01.210000,7.93
12/01/2019 22:02:01.224000,9.09
12/01/2019 22:04:00.888000,9.74
12/01/2019 22:06:00.919000,9.62
12/01/2019 22:08:01.317000,8.7
12/01/2019 22:10:01.223000,10.97
12/01/2019 22:12:01.196000,9.6
12/01/2019 22:14:01.249000,8.62
12/01/2019 22:16:01.112000,9.49
12/01/2019 22:18:01.101000,9.9
12/01/2019 22:20:01.363000,10.16
12/01/2019 22:22:00.893000,9.19
12/01/2019 22:24:01.350000,9.53
12/01/2019 22:26:01.136000,9.04
12/01/2019 22:28:01.281000,9.39
12/01/2019 22:30:01.205000,8.81
12/01/2019 22:32:01.127000,9.78
12/01/2019 22:34:01.624000,9.92
12/01/2019 22:36:01.292000,9.03
12/01/2019 22:38:00.872000,9.87
12/01/2019 22:40:01.210000,9.57
12/01/2019 22:42:00.878000,9.21
12/01/2019 22:44:00.871000,9.17
12/01/2019 22:46:00.899000,9.93
12/01/2019 22:48:01.316000,9.31
12/01/2019 22:50:00.897000,9.03
12/01/2019 22:52:00.879000,9.06
12/01/2019 22:54:00.921000,10.45
12/01/2019 22:56:01.099000,9.82
12/01/2019 22:58:01.106000,10.2
12/01/2019 23:00:01.208000,10.03
12/01/2019 23:02:01.267000,10.3
12/01/2019 23:04:00.892000,9.78
12/01/2019 23:06:00.893000,9.91
12/01/2019 23:08:01.125000,9.6
12/01/2019 23:10:01.226000,10.49
12/01/2019 23:12:01.315000,10.94
12/01/2019 23:14:01.298000,10.24
12/01/2019 23:16:01.216000,10.84
12/01/2019 23:18:01.191000,11.35
12/01/2019 23:20:01.281000,10.44
12/01/2019 23:22:01.207000,11.01
12/01/2019 23:24:01.094000,11.93
12/01/2019 23:26:00.874000,13.06
12/01/2019 23:28:00.963000,10.93
12/01/2019 23:30:01.162000,12.25
12/01/2019 23:32:00.914000,12.86
12/01/2019 23:34:01.585000,12.73
12/01/2019 23:36:01.412000,12.3
12/01/2019 23:38:01.339000,15.09
12/01/2019 23:40:01.294000,12.8
12/01/2019 23:42:00.890000,11.87
12/01/2019 23:44:01.219000,15.59
12/01/2019 23:46:01.189000,13.1
12/01/2019 23:48:00.897000,13.38
12/01/2019 23:50:00.918000,12.59
12/01/2019 23:52:01.083000,13.79
12/01/2019 23:54:01.203000,13.82
12/01/2019 23:56:01.202000,14.91
12/01/2019 23:58:01.301000,14.89
12/02/2019 00:00:01.118000,13.47
12/02/2019 00:02:00.860000,14.67
12/02/2019 00:04:01.188000,15.88
