InstrumentName, APCD B,,
StartTime, 2018-09-01 00:00:00,,
EndTime, 2018-09-30 23:59:59,,
Date,PM2.5,humidity,temp_f
09/01/2018 13:29:43.240000,3.93,48.0,62.0
09/01/2018 13:31:03.246666,3.29,48.0,62.0
09/01/2018 13:33:43.300000,3.65,47.0,63.0
09/01/2018 13:35:03.260000,3.6,47.0,63.0
09/01/2018 13:37:43.596666,2.24,45.0,63.0
09/01/2018 13:39:03.510000,2.88,45.0,63.0
09/01/2018 13:41:43.546666,2.71,45.0,63.0
09/01/2018 13:43:03.330000,3.39,44.0,63.0
09/01/2018 13:45:43.250000,2.98,44.0,63.0
09/01/2018 13:47:03.826666,2.86,44.0,63.0
09/01/2018 13:49:43.293333,2.19,44.0,63.0
09/01/2018 13:51:03.343333,2.39,44.0,63.0
09/01/2018 13:53:43.310000,2.19,44.0,63.0
09/01/2018 13:55:03.290000,1.88,44.0,64.0
09/01/2018 13:57:43.446666,2.9,44.0,63.0
09/01/2018 13:59:03.330000,2.8,43.0,64.0
09/01/2018 14:01:43.260000,2.86,43.0,63.0
09/01/2018 14:03:03.426666,2.61,43.0,64.0
09/01/2018 14:05:43.293333,2.38,43.0,64.0
09/01/2018 14:07:03.266666,1.93,43.0,64.0
09/01/2018 14:09:43.433333,1.67,42.0,64.0
09/01/2018 14:11:03.286666,3.0,42.0,65.0
09/01/2018 14:13:43.600000,1.9,42.0,65.0
09/01/2018 14:15:03.396666,2.07,42.0,65.0
09/01/2018 14:17:43.430000,2.17,41.0,66.0
09/01/2018 14:19:03.353333,2.66,41.0,66.0
09/01/2018 14:21:43.510000,2.19,40.0,66.0
09/01/2018 14:23:03.283333,1.95,41.0,66.0
09/01/2018 14:25:43.316666,3.24,41.0,66.0
09/01/2018 14:27:03.293333,3.0,41.0,66.0
09/01/2018 14:29:43.340000,3.32,40.0,67.0
09/01/2018 14:31:03.436666,3.12,40.0,67.0
09/01/2018 14:33:43.256666,2.83,39.0,68.0
09/01/2018 14:35:03.350000,2.88,39.0,68.0
09/01/2018 14:37:43.446666,2.15,38.0,68.0
09/01/2018 14:39:03.393333,2.9,38.0,68.0
09/01/2018 14:41:43.530000,2.07,38.0,68.0
09/01/2018 14:43:03.316666,1.98,38.0,68.0
09/01/2018 14:45:43.350000,2.74,37.0,69.0
09/01/2018 14:47:03.613333,2.62,37.0,70.0
09/01/2018 14:49:43.406666,1.8,36.0,71.0
09/01/2018 14:51:03.396666,2.14,35.0,71.0
09/01/2018 14:53:43.620000,2.34,35.0,71.0
09/01/2018 14:55:03.410000,2.12,35.0,71.0
09/01/2018 14:57:43.670000,2.07,35.0,71.0
09/01/2018 14:59:03.513333,2.07,35.0,70.0
09/01/2018 15:01:43.640000,2.42,35.0,70.0
09/01/2018 15:03:03.366666,2.56,35.0,71.0
09/01/2018 15:05:43.376666,2.46,35.0,70.0
09/01/2018 15:07:03.366666,2.6,34.0,71.0
09/01/2018 15:09:43.336666,2.02,33.0,72.0
09/01/2018 15:11:03.620000,2.14,33.0,71.0
09/01/2018 15:13:43.566666,2.76,33.0,71.0
09/01/2018 15:15:03.526666,2.42,32.0,71.0
09/01/2018 15:17:43.426666,1.83,32.0,73.0
09/01/2018 15:19:03.326666,2.07,32.0,74.0
09/01/2018 15:21:43.496666,2.26,31.0,74.0
09/01/2018 15:23:03.366666,1.76,32.0,75.0
09/01/2018 15:25:43.443333,2.46,30.0,75.0
09/01/2018 15:27:03.786666,2.9,31.0,75.0
09/01/2018 15:29:43.336666,2.62,30.0,76.0
09/01/2018 15:31:03.686666,2.28,29.0,77.0
09/01/2018 15:33:43.413333,1.95,29.0,77.0
09/01/2018 15:35:03.380000,2.71,29.0,78.0
09/01/2018 15:37:43.436666,2.9,27.0,80.0
09/01/2018 15:39:03.486666,2.21,27.0,80.0
09/01/2018 15:41:43.680000,2.05,26.0,80.0
09/01/2018 15:43:03.390000,2.19,25.0,80.0
09/01/2018 15:45:43.326666,2.72,25.0,81.0
09/01/2018 15:47:03.416666,2.39,24.0,81.0
09/01/2018 15:49:43.373333,2.1,24.0,82.0
09/01/2018 15:51:03.736666,1.92,23.0,82.0
09/01/2018 15:53:43.396666,2.67,23.0,82.0
09/01/2018 15:55:03.436666,2.17,22.0,83.0
09/01/2018 15:57:43.586666,2.62,22.0,83.0
09/01/2018 15:59:03.476666,1.8,22.0,82.0
09/01/2018 16:01:43.730000,2.66,23.0,82.0
09/01/2018 16:03:03.553333,2.41,22.0,82.0
09/01/2018 16:05:43.380000,2.32,22.0,84.0
09/01/2018 16:07:03.466666,2.67,22.0,85.0
