InstrumentName, Welby
StartTime, 2021-01-01 00:00:00
EndTime, 2021-01-31 00:00:00
Date,NO2,O3,PM10,SO2
01/16/2021 20:00:00,3.0,40.0,9.7,0.0
01/16/2021 21:00:00,1.0,39.0,15.0,0.0
01/16/2021 22:00:00,1.0,39.0,9.8,0.0
01/16/2021 23:00:00,2.0,37.0,11.2,0.0
01/17/2021 00:00:00,4.0,34.0,12.0,0.0
01/17/2021 01:00:00,6.0,29.0,9.7,0.0
01/17/2021 02:00:00,8.0,27.0,9.9,0.0
01/17/2021 03:00:00,10.0,25.0,11.5,0.0
01/17/2021 04:00:00,,23.0,10.9,0.0
01/17/2021 05:00:00,10.0,19.0,12.1,0.0
01/17/2021 06:00:00,7.0,27.0,5.0,0.0
01/17/2021 07:00:00,10.0,26.0,5.9,0.0
01/17/2021 08:00:00,11.0,24.0,6.1,0.0
01/17/2021 09:00:00,12.0,24.0,7.0,0.0
01/17/2021 10:00:00,9.0,26.0,5.5,0.0
01/17/2021 11:00:00,9.0,26.0,5.2,0.0
01/17/2021 12:00:00,10.0,25.0,6.0,0.0
01/17/2021 13:00:00,12.0,25.0,4.4,0.0
01/17/2021 14:00:00,10.0,28.0,4.1,0.0
01/17/2021 15:00:00,10.0,28.0,8.4,0.0
01/17/2021 16:00:00,15.0,22.0,13.7,0.0
01/17/2021 17:00:00,15.0,21.0,11.6,1.0
01/17/2021 18:00:00,12.0,28.0,7.9,1.0
01/17/2021 19:00:00,5.0,37.0,4.3,0.0
01/17/2021 20:00:00,4.0,38.0,5.9,0.0
01/17/2021 21:00:00,5.0,37.0,7.9,0.0
01/17/2021 22:00:00,3.0,41.0,34.0,0.0
01/17/2021 23:00:00,2.0,41.0,55.9,0.0
01/18/2021 00:00:00,2.0,41.0,62.0,0.0
01/18/2021 01:00:00,3.0,39.0,6.4,0.0
01/18/2021 02:00:00,1.0,41.0,35.6,0.0
01/18/2021 03:00:00,1.0,40.0,9.0,0.0
