InstrumentName, Lake Arbot,,
StartTime, 2018-01-01 00:00:00,,
EndTime, 2018-01-31 23:59:59,,
Date,PM2.5,humidity,temp_f
01/01/2018 18:05:28.563333,43.46,36.0,33.0
01/01/2018 18:06:48.630000,42.98,36.0,33.0
01/01/2018 18:09:28.486666,42.56,36.0,32.0
01/01/2018 18:10:48.550000,43.1,36.0,33.0
01/01/2018 18:13:28.576666,41.77,36.0,32.0
01/01/2018 18:14:48.533333,42.24,37.0,32.0
01/01/2018 18:17:28.543333,41.82,37.0,33.0
01/01/2018 18:18:48.666666,42.2,37.0,33.0
01/01/2018 18:21:28.536666,42.66,37.0,33.0
01/01/2018 18:22:48.966666,41.6,37.0,34.0
01/01/2018 18:25:28.556666,42.9,37.0,34.0
01/01/2018 18:26:48.526666,43.14,37.0,34.0
01/01/2018 18:29:28.536666,41.7,36.0,35.0
01/01/2018 18:30:48.510000,42.8,36.0,35.0
01/01/2018 18:33:28.573333,42.63,35.0,35.0
01/01/2018 18:34:48.553333,40.66,35.0,35.0
01/01/2018 18:37:28.516666,41.34,35.0,36.0
01/01/2018 18:38:48.643333,41.69,35.0,36.0
01/01/2018 18:42:48.570000,42.36,34.0,36.0
01/01/2018 18:45:28.650000,41.46,34.0,36.0
01/01/2018 18:46:48.520000,42.08,34.0,36.0
01/01/2018 18:49:28.536666,41.72,34.0,37.0
01/01/2018 18:50:48.660000,40.34,34.0,37.0
01/01/2018 18:53:29.576666,41.54,33.0,37.0
01/01/2018 18:54:48.600000,38.78,32.0,37.0
01/01/2018 18:57:28.630000,39.83,33.0,37.0
01/01/2018 18:58:48.540000,40.45,32.0,37.0
01/01/2018 19:01:28.570000,39.79,32.0,37.0
01/01/2018 19:02:48.716666,40.61,32.0,38.0
01/01/2018 19:05:28.720000,39.12,32.0,38.0
01/01/2018 19:06:48.526666,38.42,31.0,38.0
01/01/2018 19:09:28.593333,39.55,31.0,38.0
01/01/2018 19:10:48.576666,38.88,31.0,38.0
01/01/2018 19:13:28.670000,39.02,31.0,38.0
01/01/2018 19:14:48.656666,37.73,31.0,38.0
01/01/2018 19:17:28.550000,39.27,31.0,38.0
