InstrumentName, I-25 Denver
StartTime, 2021-08-01 00:00:00
EndTime, 2021-09-01 00:00:00
Date,CO,NO2,PM2.5
08/23/2021 16:00:00,0.318,17.0,10.0
08/23/2021 18:00:00,0.279,11.0,5.6
08/23/2021 19:00:00,0.422,20.0,3.9
08/23/2021 20:00:00,0.463,21.0,4.0
08/23/2021 21:00:00,0.556,28.0,3.9
08/23/2021 22:00:00,0.594,28.0,3.8
08/23/2021 23:00:00,0.629,31.0,3.4
08/24/2021 00:00:00,0.336,16.0,4.3
08/24/2021 01:00:00,0.455,25.0,4.7
08/24/2021 02:00:00,0.637,33.0,6.3
08/24/2021 03:00:00,0.613,35.0,6.8
08/24/2021 04:00:00,0.628,,7.4
08/24/2021 05:00:00,0.483,28.0,9.7
08/24/2021 06:00:00,0.443,31.0,8.9
08/24/2021 07:00:00,0.353,27.0,7.7
08/24/2021 09:00:00,0.298,23.0,7.7
08/24/2021 10:00:00,0.299,23.0,9.2
08/24/2021 11:00:00,0.576,27.0,6.9
08/24/2021 12:00:00,0.902,34.0,9.0
08/24/2021 13:00:00,0.646,32.0,7.4
08/24/2021 14:00:00,0.426,23.0,6.1
08/24/2021 15:00:00,0.387,21.0,3.8
08/24/2021 16:00:00,0.348,23.0,4.3
08/24/2021 17:00:00,0.223,11.0,4.0
08/24/2021 19:00:00,0.158,4.0,2.7
08/24/2021 20:00:00,0.181,5.0,3.0
08/24/2021 21:00:00,0.219,7.0,2.6
08/24/2021 22:00:00,0.22,8.0,3.4
08/25/2021 00:00:00,0.163,4.0,3.0
08/25/2021 01:00:00,0.17,6.0,3.2
