InstrumentName, 26th and Williams B,,
StartTime, 2018-04-01 00:00:00,,
EndTime, 2018-04-30 23:59:59,,
Date,PM2.5,humidity,temp_f
04/17/2018 19:56:37.063333,2.95,6.0,77.0
04/17/2018 19:59:17.056666,3.05,9.0,73.0
04/17/2018 20:01:57.156666,2.2,14.0,69.0
04/17/2018 20:04:37.073333,2.26,14.0,70.0
04/17/2018 20:07:17.143333,3.42,14.0,69.0
04/17/2018 20:11:22.133333,1.88,17.0,66.0
04/17/2018 20:13:57.183333,2.15,21.0,62.0
04/17/2018 20:16:37.363333,1.19,21.0,64.0
04/17/2018 20:20:37.093333,1.48,24.0,59.0
04/17/2018 20:21:57.090000,1.59,25.0,57.0
04/17/2018 20:25:57.100000,1.0,25.0,59.0
04/17/2018 20:28:37.106666,0.48,23.0,60.0
04/17/2018 20:32:37.680000,0.19,24.0,57.0
04/17/2018 20:35:17.106666,0.14,24.0,58.0
04/17/2018 20:37:57.316666,0.14,23.0,59.0
04/17/2018 20:40:37.753333,0.64,24.0,57.0
04/17/2018 20:43:17.116666,0.29,24.0,57.0
04/17/2018 20:47:17.253333,0.6,22.0,59.0
04/17/2018 20:49:57.130000,0.26,21.0,59.0
04/17/2018 20:52:37.166666,0.12,21.0,59.0
04/17/2018 20:56:37.126666,0.23,20.0,58.0
04/17/2018 20:59:17.150000,0.3,20.0,59.0
04/17/2018 21:01:57.130000,0.34,19.0,59.0
04/17/2018 21:04:37.126666,0.33,19.0,60.0
04/17/2018 21:07:17.136666,0.53,18.0,60.0
04/17/2018 21:11:17.136666,0.23,18.0,60.0
04/17/2018 21:13:57.140000,0.26,17.0,60.0
04/17/2018 21:16:37.166666,0.57,16.0,61.0
04/17/2018 21:20:37.166666,0.58,16.0,60.0
04/17/2018 21:23:17.193333,0.62,15.0,61.0
04/17/2018 21:25:57.160000,0.31,15.0,61.0
04/17/2018 21:28:37.180000,0.65,14.0,61.0
04/17/2018 21:32:37.196666,0.15,17.0,60.0
04/17/2018 21:35:17.163333,0.24,18.0,61.0
04/17/2018 21:37:57.310000,0.49,19.0,60.0
04/17/2018 21:40:37.476666,0.49,21.0,57.0
04/17/2018 21:44:37.186666,0.76,20.0,58.0
04/17/2018 21:47:17.333333,0.21,20.0,57.0
04/17/2018 21:49:57.196666,0.48,20.0,57.0
04/17/2018 21:52:37.183333,0.29,20.0,57.0
04/17/2018 21:56:37.183333,0.29,21.0,56.0
04/17/2018 21:59:17.256666,0.29,20.0,58.0
04/17/2018 22:01:57.216666,0.42,20.0,59.0
04/17/2018 22:04:37.303333,0.42,19.0,59.0
04/17/2018 22:07:17.230000,0.42,18.0,58.0
04/17/2018 22:09:57.236666,0.42,18.0,58.0
04/17/2018 22:13:57.246666,0.42,18.0,58.0
04/17/2018 22:16:37.206666,0.42,18.0,58.0
04/17/2018 22:20:37.216666,0.42,18.0,58.0
04/17/2018 22:23:17.213333,0.42,18.0,57.0
04/17/2018 22:25:57.273333,0.42,18.0,58.0
04/17/2018 22:28:37.580000,0.42,18.0,57.0
04/17/2018 22:32:37.370000,0.36,19.0,57.0
04/17/2018 22:33:57.220000,0.36,18.0,58.0
04/17/2018 22:37:57.266666,0.24,18.0,58.0
