InstrumentName, I-25 Denver
StartTime, 2021-10-01 00:00:00
EndTime, 2021-11-01 00:00:00
Date,CO,NO2,PM2.5
10/19/2021 13:00:00,0.943,35.0,9.4
10/19/2021 15:00:00,0.319,23.0,8.1
10/19/2021 16:00:00,0.574,32.0,7.7
10/19/2021 17:00:00,0.537,28.0,9.8
10/19/2021 18:00:00,0.345,15.0,
10/19/2021 20:00:00,0.29,18.0,2.9
10/19/2021 21:00:00,0.455,30.0,2.9
10/19/2021 22:00:00,0.208,12.0,4.6
10/19/2021 23:00:00,0.232,14.0,2.9
10/20/2021 01:00:00,0.161,6.0,2.3
10/20/2021 17:00:00,0.303,16.0,5.3
10/20/2021 18:00:00,0.27,13.0,3.6
10/20/2021 19:00:00,0.261,10.0,2.6
10/20/2021 20:00:00,0.359,16.0,3.0
10/20/2021 21:00:00,0.279,14.0,3.5
10/20/2021 22:00:00,0.202,12.0,3.8
10/20/2021 23:00:00,0.188,11.0,3.2
10/21/2021 00:00:00,0.219,15.0,4.4
10/21/2021 02:00:00,0.663,39.0,5.2
10/21/2021 04:00:00,1.014,,9.3
10/21/2021 05:00:00,0.971,42.0,9.2
10/21/2021 06:00:00,0.399,33.0,
10/21/2021 07:00:00,0.476,31.0,4.8
10/21/2021 09:00:00,0.526,35.0,5.8
10/21/2021 10:00:00,0.473,34.0,4.9
10/21/2021 11:00:00,0.703,36.0,7.1
10/21/2021 12:00:00,0.819,38.0,8.0
10/21/2021 13:00:00,0.618,40.0,7.5
10/21/2021 14:00:00,0.821,41.0,10.6
10/21/2021 15:00:00,1.184,43.0,15.2
10/21/2021 16:00:00,1.151,42.0,12.3
10/21/2021 17:00:00,1.006,44.0,12.4
10/21/2021 18:00:00,0.783,42.0,11.4
10/21/2021 19:00:00,0.746,46.0,15.0
10/21/2021 20:00:00,0.726,40.0,8.7
10/21/2021 22:00:00,0.418,29.0,4.7
10/21/2021 23:00:00,0.772,41.0,5.1
10/22/2021 00:00:00,1.29,53.0,11.8
10/22/2021 01:00:00,1.536,48.0,13.7
10/22/2021 02:00:00,1.648,45.0,14.9
10/22/2021 03:00:00,1.695,44.0,14.6
10/22/2021 04:00:00,1.647,,14.7
10/22/2021 05:00:00,1.56,39.0,13.6
10/22/2021 06:00:00,1.52,37.0,12.5
10/22/2021 07:00:00,1.19,36.0,10.5
10/22/2021 09:00:00,0.714,35.0,8.1
10/22/2021 10:00:00,0.701,36.0,9.1
10/22/2021 11:00:00,1.136,35.0,13.9
10/22/2021 12:00:00,1.332,39.0,12.2
10/22/2021 13:00:00,1.552,41.0,13.4
10/22/2021 14:00:00,1.471,45.0,15.3
10/22/2021 15:00:00,0.389,28.0,7.2
10/22/2021 16:00:00,0.307,23.0,7.8
10/22/2021 18:00:00,0.239,12.0,1.9
10/22/2021 19:00:00,0.195,8.0,2.7
10/22/2021 20:00:00,0.21,8.0,1.5
10/22/2021 21:00:00,0.197,8.0,2.3
10/22/2021 23:00:00,0.273,17.0,2.2
10/23/2021 00:00:00,0.28,16.0,4.0
10/23/2021 01:00:00,1.293,,7.9
10/23/2021 04:00:00,1.027,,9.5
10/23/2021 06:00:00,1.075,40.0,9.4
10/23/2021 07:00:00,1.044,39.0,11.5
10/23/2021 09:00:00,0.744,35.0,6.4
10/23/2021 10:00:00,0.611,34.0,6.5
10/23/2021 11:00:00,0.505,34.0,6.0
10/23/2021 12:00:00,0.648,35.0,6.6
10/23/2021 13:00:00,0.82,36.0,8.7
10/23/2021 14:00:00,0.865,38.0,8.6
10/23/2021 15:00:00,0.649,38.0,8.3
10/23/2021 16:00:00,0.72,39.0,8.7
10/23/2021 18:00:00,0.72,34.0,7.5
10/23/2021 19:00:00,0.505,27.0,6.7
10/23/2021 20:00:00,0.279,11.0,3.7
10/23/2021 21:00:00,0.172,5.0,2.1
10/23/2021 22:00:00,0.296,10.0,2.7
10/24/2021 00:00:00,0.68,36.0,11.8
10/24/2021 01:00:00,0.754,34.0,13.6
10/24/2021 02:00:00,0.539,32.0,12.6
10/24/2021 05:00:00,0.349,25.0,11.5
10/24/2021 06:00:00,0.853,37.0,14.7
10/24/2021 07:00:00,0.81,37.0,15.9
10/24/2021 09:00:00,0.555,36.0,13.7
10/24/2021 10:00:00,0.317,26.0,22.2
10/24/2021 11:00:00,0.294,25.0,8.4
10/24/2021 12:00:00,0.31,29.0,8.6
10/24/2021 13:00:00,0.413,32.0,9.1
10/24/2021 14:00:00,0.508,28.0,10.7
10/24/2021 15:00:00,0.405,23.0,8.7
10/24/2021 16:00:00,0.24,12.0,2.4
10/24/2021 17:00:00,0.311,10.0,2.7
10/24/2021 18:00:00,0.375,10.0,1.4
10/24/2021 20:00:00,0.172,3.0,1.5
10/24/2021 21:00:00,0.163,2.0,2.1
10/24/2021 22:00:00,0.146,2.0,1.6
10/24/2021 23:00:00,0.162,5.0,1.8
10/25/2021 00:00:00,0.191,9.0,2.6
10/25/2021 01:00:00,0.214,10.0,2.8
10/25/2021 02:00:00,0.5,27.0,4.0
10/25/2021 03:00:00,0.572,35.0,5.0
10/25/2021 04:00:00,1.105,,7.9
10/25/2021 06:00:00,0.662,36.0,6.9
10/25/2021 07:00:00,0.724,37.0,7.0
10/25/2021 09:00:00,0.59,34.0,6.4
10/25/2021 11:00:00,0.633,36.0,5.6
10/25/2021 12:00:00,0.854,37.0,6.1
10/25/2021 13:00:00,0.828,37.0,7.1
