InstrumentName, I-25 Globeville,
StartTime, 2018-10-01 00:00:00,
EndTime, 2018-10-31 23:59:59,
Date,NO2,PM2.5
10/20/2018 05:00:00.000000,,14.2
10/20/2018 06:00:00.000000,,12.5
10/20/2018 07:00:00.000000,,11.3
10/20/2018 08:00:00.000000,,11.3
10/20/2018 09:00:00.000000,,8.5
10/20/2018 10:00:00.000000,,8.2
10/20/2018 11:00:00.000000,,9.1
10/20/2018 12:00:00.000000,,10.5
10/20/2018 13:00:00.000000,,11.6
10/20/2018 14:00:00.000000,,12.9
10/20/2018 15:00:00.000000,,15.0
10/20/2018 16:00:00.000000,,13.0
10/20/2018 17:00:00.000000,,11.1
10/20/2018 18:00:00.000000,,9.3
10/20/2018 19:00:00.000000,,6.9
10/20/2018 20:00:00.000000,,4.9
10/20/2018 21:00:00.000000,,3.9
10/20/2018 22:00:00.000000,,3.5
10/20/2018 23:00:00.000000,,3.2
10/21/2018 00:00:00.000000,,3.9
10/21/2018 01:00:00.000000,,4.5
10/21/2018 02:00:00.000000,,6.7
10/21/2018 03:00:00.000000,,9.1
10/21/2018 04:00:00.000000,,11.2
10/21/2018 05:00:00.000000,,11.0
10/21/2018 06:00:00.000000,,10.8
10/21/2018 07:00:00.000000,,9.9
10/21/2018 08:00:00.000000,,8.9
10/21/2018 09:00:00.000000,,7.7
10/21/2018 10:00:00.000000,,6.3
10/21/2018 11:00:00.000000,,6.0
10/21/2018 12:00:00.000000,,6.1
10/21/2018 13:00:00.000000,,6.0
10/21/2018 14:00:00.000000,,5.7
10/21/2018 15:00:00.000000,,5.2
10/21/2018 16:00:00.000000,,5.1
10/21/2018 17:00:00.000000,,4.1
10/21/2018 18:00:00.000000,,3.1
10/21/2018 19:00:00.000000,,2.5
10/21/2018 20:00:00.000000,,2.2
10/21/2018 21:00:00.000000,,2.0
10/21/2018 22:00:00.000000,,1.9
10/21/2018 23:00:00.000000,,2.1
10/22/2018 00:00:00.000000,,3.8
10/22/2018 01:00:00.000000,,5.4
10/22/2018 02:00:00.000000,,8.3
10/22/2018 03:00:00.000000,,10.7
10/22/2018 04:00:00.000000,,10.6
10/22/2018 05:00:00.000000,,10.3
10/22/2018 06:00:00.000000,,10.3
10/22/2018 07:00:00.000000,,8.4
10/22/2018 08:00:00.000000,,8.0
10/22/2018 09:00:00.000000,,7.5
10/22/2018 10:00:00.000000,,7.6
10/22/2018 11:00:00.000000,,8.0
10/22/2018 12:00:00.000000,,9.5
10/22/2018 13:00:00.000000,,12.1
10/22/2018 14:00:00.000000,,14.2
10/22/2018 15:00:00.000000,,15.3
10/22/2018 16:00:00.000000,,13.6
10/22/2018 17:00:00.000000,,11.2
10/22/2018 18:00:00.000000,,9.3
10/22/2018 19:00:00.000000,15.0,6.9
10/22/2018 20:00:00.000000,11.0,5.6
10/22/2018 21:00:00.000000,20.0,5.5
10/22/2018 22:00:00.000000,13.0,5.1
10/22/2018 23:00:00.000000,26.0,4.9
10/23/2018 00:00:00.000000,39.0,8.6
10/23/2018 01:00:00.000000,39.0,11.0
10/23/2018 02:00:00.000000,32.0,11.2
10/23/2018 03:00:00.000000,35.0,11.0
10/23/2018 04:00:00.000000,28.0,9.7
10/23/2018 05:00:00.000000,,9.0
10/23/2018 06:00:00.000000,32.0,8.8
10/23/2018 07:00:00.000000,30.0,8.6
10/23/2018 08:00:00.000000,31.0,8.6
